@relation data
@attribute OpSet1 numeric
@attribute OpSet2 numeric
@attribute OpSet3 numeric
@attribute SensorMeasure1 numeric
@attribute SensorMeasure2 numeric
@attribute SensorMeasure3 numeric
@attribute SensorMeasure4 numeric
@attribute SensorMeasure5 numeric
@attribute SensorMeasure6 numeric
@attribute SensorMeasure7 numeric
@attribute SensorMeasure8 numeric
@attribute SensorMeasure9 numeric
@attribute SensorMeasure10 numeric
@attribute SensorMeasure11 numeric
@attribute SensorMeasure12 numeric
@attribute SensorMeasure13 numeric
@attribute SensorMeasure14 numeric
@attribute SensorMeasure15 numeric
@attribute SensorMeasure16 numeric
@attribute SensorMeasure17 numeric
@attribute SensorMeasure18 numeric
@attribute SensorMeasure19 numeric
@attribute SensorMeasure20 numeric
@attribute SensorMeasure21 numeric
@attribute survival_time numeric
@attribute survival_status numeric
@data
20.0072,0.7,100,491.19,606.67,1481.04,1227.81,9.35,13.6,332.52,2323.67,8704.98,1.07,43.83,313.03,2387.78,8048.98,9.2229,0.02,362,2324,100,24.31,14.7007,229,1
25.0041,0.62,60,462.54,536.84,1264.01,1035.72,7.05,9.03,176.35,1915.39,8010.74,0.94,36.6,165.16,2028.31,7874.79,10.8906,0.02,307,1915,84.93,14.31,8.4892,152,1
25.0015,0.6205,60,462.54,536.1,1257.69,1034.09,7.05,9,175.74,1915.31,8015.69,0.94,36.58,164.52,2028.25,7875.33,10.8412,0.02,306,1915,84.93,14.4,8.6091,140,1
35.0054,0.8419,100,449.44,554.94,1352.39,1109.87,5.48,7.98,193.44,2222.73,8329.36,1.02,41.41,181.51,2387.76,8053.67,9.3062,0.02,332,2223,100,14.8,9.066,207,1
42.0003,0.84,100,445,549.73,1352.04,1123.66,3.91,5.71,138.31,2211.86,8323.79,1.02,42.3,130.54,2387.91,8082.97,9.3695,0.02,331,2212,100,10.59,6.3617,50,1
35.0066,0.8411,100,449.44,555.37,1354.71,1117.55,5.48,7.99,194.28,2222.9,8334.77,1.02,41.65,182.8,2387.88,8063.99,9.2811,0.02,333,2223,100,14.83,8.911,145,1
42.0013,0.84,100,445,549.46,1355.5,1128.79,3.91,5.71,138.16,2211.92,8328.97,1.02,42.08,130.4,2388.02,8085.33,9.3806,0.02,331,2212,100,10.62,6.3859,53,1
42.0077,0.84,100,445,548.91,1355.34,1121.71,3.91,5.72,139.07,2211.58,8301.5,1.02,42.08,130.69,2387.7,8065.6,9.3844,0.02,332,2212,100,10.68,6.2945,236,0
0.0023,0,100,518.67,641.35,1589.53,1404.01,14.62,21.6,553.79,2387.95,9047.85,1.3,47.04,522.22,2387.97,8135.16,8.4055,0.03,390,2388,100,39.03,23.3279,236,0
25.0061,0.622,60,462.54,536.66,1250.97,1043.09,7.05,9.02,176.07,1915.46,8014.28,0.94,36.61,165.52,2028.31,7878.92,10.7992,0.02,306,1915,84.93,14.38,8.5652,22,1
10.0009,0.25,100,489.05,604.31,1495.56,1300.75,10.52,15.49,396.13,2318.86,8780.31,1.26,45.26,373.21,2388.08,8136.02,8.6031,0.03,370,2319,100,28.63,17.2411,81,1
42.0052,0.84,100,445,549.18,1350.99,1112.01,3.91,5.69,136.9,2211.83,8306.91,1.02,41.55,129.51,2387.96,8070.6,9.3939,0.02,328,2212,100,10.49,6.4485,236,0
42.0019,0.84,100,445,549.45,1340.78,1117.57,3.91,5.7,138.04,2212,8323.68,1.02,41.8,130.14,2388.07,8090.21,9.3061,0.02,330,2212,100,10.7,6.3774,226,1
20.0004,0.7005,100,491.19,607.69,1481.76,1243.8,9.35,13.66,334.61,2323.99,8723.41,1.08,44.51,314.57,2388.1,8063.18,9.2083,0.02,365,2324,100,24.51,14.6895,101,1
24.9986,0.62,60,462.54,536.73,1257.14,1049.28,7.05,9.02,176.24,1915.42,8005.85,0.94,36.6,165.32,2028.3,7880.53,10.8341,0.02,305,1915,84.93,14.4,8.5895,167,1
0.0022,0.002,100,518.67,641.57,1575.22,1396.77,14.62,21.6,555.33,2388.04,9062.25,1.3,47.03,523.2,2387.96,8133.59,8.3972,0.03,392,2388,100,39.03,23.5037,236,0
0.0023,0,100,518.67,642.44,1581.9,1400.75,14.62,21.6,554.65,2387.98,9058.61,1.3,47.06,523.4,2387.98,8137.88,8.3619,0.03,392,2388,100,39.01,23.5027,236,0
20.0008,0.7001,100,491.19,606.83,1479.45,1245.52,9.35,13.64,336.06,2323.94,8728.27,1.08,44.18,315.91,2388.05,8069.26,9.1167,0.02,363,2324,100,24.73,14.8022,236,0
10.0048,0.2515,100,489.05,604.34,1497.99,1302.73,10.52,15.48,395.58,2318.76,8779.7,1.26,44.99,371.91,2387.95,8132.68,8.6217,0.03,365,2319,100,28.79,17.2451,23,1
10.0051,0.2514,100,489.05,604.78,1495.49,1312.48,10.52,15.49,394.1,2318.97,8769.92,1.26,45.7,371.59,2388.18,8119.61,8.6316,0.03,369,2319,100,28.43,17.2175,114,1
42.0013,0.8417,100,445,548.98,1345.99,1114.98,3.91,5.71,138.14,2211.92,8318.39,1.02,41.64,130.5,2387.99,8079.28,9.3344,0.02,331,2212,100,10.68,6.4855,201,1
19.9987,0.7002,100,491.19,607.14,1481.45,1249.69,9.35,13.66,335.47,2323.93,8710.35,1.08,44.38,314.68,2388.01,8050.67,9.1544,0.02,364,2324,100,24.34,14.7337,157,1
42.0074,0.8402,100,445,549.27,1344.64,1122.41,3.91,5.72,138.69,2211.96,8326.64,1.02,41.9,130.9,2388.01,8084.84,9.3495,0.02,331,2212,100,10.6,6.3049,161,1
35.0008,0.8415,100,449.44,554.86,1360.19,1129.4,5.48,7.98,195.32,2222.96,8347.8,1.02,41.6,183.39,2388.08,8068.75,9.2717,0.02,333,2223,100,14.97,8.9852,173,1
