@relation data
@attribute OpSet1 numeric
@attribute OpSet2 numeric
@attribute OpSet3 numeric
@attribute SensorMeasure1 numeric
@attribute SensorMeasure2 numeric
@attribute SensorMeasure3 numeric
@attribute SensorMeasure4 numeric
@attribute SensorMeasure5 numeric
@attribute SensorMeasure6 numeric
@attribute SensorMeasure7 numeric
@attribute SensorMeasure8 numeric
@attribute SensorMeasure9 numeric
@attribute SensorMeasure10 numeric
@attribute SensorMeasure11 numeric
@attribute SensorMeasure12 numeric
@attribute SensorMeasure13 numeric
@attribute SensorMeasure14 numeric
@attribute SensorMeasure15 numeric
@attribute SensorMeasure16 numeric
@attribute SensorMeasure17 numeric
@attribute SensorMeasure18 numeric
@attribute SensorMeasure19 numeric
@attribute SensorMeasure20 numeric
@attribute SensorMeasure21 numeric
@attribute survival_time numeric
@attribute survival_status numeric
@data
-0.0017,-0.0004,100,518.67,641.94,1581.93,1396.93,14.62,21.58,554.56,2387.93,9048.65,1.3,47.09,521.89,2387.94,8133.48,8.376,0.03,391,2388,100,39.07,23.4468,229,0
-0.0017,-0.0002,100,518.67,642.5,1585,1407.48,14.62,21.61,553.62,2388.08,9041.78,1.3,47.36,521.69,2388.1,8131.4,8.4578,0.03,393,2388,100,39.01,23.4496,123,1
-0.0039,0.0005,100,518.67,642.47,1579.87,1397.78,14.62,21.6,556.91,2388.01,9063.44,1.3,47.22,524.4,2388.01,8142.23,8.3435,0.03,391,2388,100,39.18,23.4734,229,0
-0.0024,0,100,518.67,642.7,1590.45,1414.5,14.62,21.61,552.89,2388.11,9049.27,1.3,47.55,521.97,2388.12,8134.9,8.4948,0.03,394,2388,100,38.94,23.3186,67,1
-0.0021,0,100,518.67,642.33,1581.23,1400.43,14.62,21.58,550.72,2387.42,9035.56,1.3,47.24,519.56,2387.39,8122.74,8.4199,0.03,389,2388,100,38.82,23.327,137,1
0.0005,-0.0002,100,518.67,642.26,1594.99,1406.57,14.62,21.61,553.86,2388.08,9053.62,1.3,47.29,522.04,2388.08,8134.37,8.4366,0.03,393,2388,100,38.95,23.2314,63,1
-0.0002,0.0004,100,518.67,642.79,1592.83,1411.19,14.62,21.61,553.17,2388.07,9040.78,1.3,47.48,521.14,2388.12,8125.79,8.4546,0.03,393,2388,100,38.98,23.3009,157,1
-0.0003,-0.0005,100,518.67,642.77,1584.23,1400.4,14.62,21.61,554.03,2388.11,9055.21,1.3,47.39,521.82,2388.11,8138.54,8.4267,0.03,392,2388,100,38.82,23.2595,191,1
-0.0051,0,100,518.67,642,1583.31,1393.28,14.62,21.61,554.61,2387.98,9046.23,1.3,47.15,522.61,2387.96,8136.78,8.4094,0.03,391,2388,100,39.17,23.3539,229,0
0.0011,0,100,518.67,642.48,1586.2,1401.98,14.62,21.61,553.93,2388.07,9044.17,1.3,47.19,522.3,2388.06,8133.2,8.4179,0.03,392,2388,100,38.98,23.3877,130,1
0.0031,0.0005,100,518.67,642.75,1594.26,1411.72,14.62,21.61,554.28,2388.09,9054.47,1.3,47.58,521.59,2388.12,8128.21,8.4345,0.03,393,2388,100,38.76,23.435,102,1
