@relation data
@attribute OpSet1 numeric
@attribute OpSet2 numeric
@attribute OpSet3 numeric
@attribute SensorMeasure1 numeric
@attribute SensorMeasure2 numeric
@attribute SensorMeasure3 numeric
@attribute SensorMeasure4 numeric
@attribute SensorMeasure5 numeric
@attribute SensorMeasure6 numeric
@attribute SensorMeasure7 numeric
@attribute SensorMeasure8 numeric
@attribute SensorMeasure9 numeric
@attribute SensorMeasure10 numeric
@attribute SensorMeasure11 numeric
@attribute SensorMeasure12 numeric
@attribute SensorMeasure13 numeric
@attribute SensorMeasure14 numeric
@attribute SensorMeasure15 numeric
@attribute SensorMeasure16 numeric
@attribute SensorMeasure17 numeric
@attribute SensorMeasure18 numeric
@attribute SensorMeasure19 numeric
@attribute SensorMeasure20 numeric
@attribute SensorMeasure21 numeric
@attribute survival_time numeric
@attribute survival_status numeric
@data
0.0023,0.0003,100,518.67,643.02,1585.29,1398.21,14.62,21.61,553.9,2388.04,9050.17,1.3,47.2,521.72,2388.03,8125.55,8.4052,0.03,392,2388,100,38.86,23.3735,30,1
-0.0009,0.0004,100,518.67,642.66,1589.3,1407.16,14.62,21.61,553.14,2388.1,9040.2,1.3,47.43,521.62,2388.14,8129.59,8.4283,0.03,392,2388,100,39,23.3923,48,1
-0.0001,0.0001,100,518.67,642.03,1589.92,1408.39,14.62,21.61,553.4,2388.07,9053.65,1.3,47.71,522.2,2388.13,8131.17,8.433,0.03,392,2388,100,38.99,23.296,125,1
-0.0024,0,100,518.67,642.63,1589.43,1399.93,14.62,21.61,553.1,2388.05,9048.52,1.3,47.44,521.78,2388.15,8131.61,8.4195,0.03,393,2388,100,38.88,23.3204,105,1
0.0024,-0.0004,100,518.67,642.43,1590.79,1402.02,14.62,21.61,553.5,2388.07,9051.54,1.3,47.37,522.2,2388.07,8130.9,8.4426,0.03,394,2388,100,39.04,23.3916,97,1
-0.0009,-0.0001,100,518.67,642.06,1590.15,1408.02,14.62,21.61,553.87,2388.08,9055.18,1.3,47.35,521.23,2388.08,8126.75,8.4314,0.03,393,2388,100,38.9,23.3147,104,1
0.0018,0.0002,100,518.67,642.61,1587.18,1399.82,14.62,21.61,554.58,2387.96,9062.5,1.3,47.19,521.87,2388.03,8144.16,8.4147,0.03,391,2388,100,39.04,23.3756,159,1
-0.003,0.0002,100,518.67,642.32,1594.51,1401.99,14.62,21.61,553.84,2388.08,9052.06,1.3,47.34,521.79,2388.08,8131.22,8.4291,0.03,392,2388,100,38.99,23.3352,165,1
-0.0039,0,100,518.67,642.85,1587.9,1399.24,14.62,21.61,553.91,2388.16,9049.36,1.3,47.54,521.22,2388.15,8133.88,8.4256,0.03,394,2388,100,38.91,23.311,54,1
-0.0017,0,100,518.67,642.07,1584.19,1403.69,14.62,21.61,554.53,2388.01,9057.35,1.3,47.32,522.13,2388.01,8145.46,8.4039,0.03,391,2388,100,38.75,23.353,171,0
0.0028,-0.0003,100,518.67,642.61,1597.1,1416.61,14.62,21.61,552.87,2388.19,9044.53,1.3,47.58,521.41,2388.14,8120.2,8.4409,0.03,394,2388,100,38.93,23.2872,82,1
-0.0015,-0.0001,100,518.67,642.04,1590.44,1399.93,14.62,21.61,554.35,2388.04,9059.66,1.3,47.11,522.16,2387.98,8140.24,8.4069,0.03,393,2388,100,39.01,23.3777,171,0
-0.0023,0.0004,100,518.67,642.63,1583.43,1400.97,14.62,21.61,554.17,2387.99,9068.45,1.3,47.31,522.43,2387.99,8137.44,8.409,0.03,391,2388,100,38.92,23.3614,171,0
0.0023,0.0001,100,518.67,642.66,1585.63,1415.87,14.62,21.61,553.49,2388.13,9034.75,1.3,47.5,521.01,2388.18,8122.18,8.4474,0.03,394,2388,100,38.77,23.3023,45,1
0.0017,0.0003,100,518.67,642.19,1585.73,1403.05,14.62,21.61,553.76,2387.98,9051.46,1.3,47.19,521.52,2388.07,8135.89,8.4166,0.03,393,2388,100,39.06,23.3873,75,1
0.0011,0,100,518.67,642.42,1578.16,1394.95,14.62,21.61,554.02,2388.04,9050.02,1.3,47.22,522.4,2388.08,8132.87,8.4024,0.03,391,2388,100,38.93,23.3745,112,1
0.003,0.0004,100,518.67,642.12,1585.15,1402.77,14.62,21.61,554.5,2388,9068.53,1.3,47.37,522.67,2388.07,8152.77,8.3882,0.03,391,2388,100,38.84,23.3738,164,1
0.0007,-0.0004,100,518.67,642.23,1586.9,1395.19,14.62,21.61,554.57,2388,9074.23,1.3,47.13,521.9,2388.04,8149.13,8.4134,0.03,393,2388,100,39.04,23.3448,132,1
0.0018,-0.0001,100,518.67,642.22,1592.42,1398.42,14.62,21.61,554.01,2388.02,9055.65,1.3,47.07,522.24,2387.99,8137.8,8.3888,0.03,391,2388,100,39.02,23.469,134,1
0.0011,-0.0005,100,518.67,642.26,1588.38,1397.78,14.62,21.61,554.43,2388.07,9072.24,1.3,47.4,521.88,2388.06,8147.58,8.3923,0.03,393,2388,100,38.76,23.497,171,0
-0.0011,0,100,518.67,642.07,1590.11,1394.38,14.62,21.61,554.73,2388.03,9048.55,1.3,47.3,522.74,2388.03,8142.62,8.4358,0.03,390,2388,100,39.18,23.3444,147,1
0.0006,0.0002,100,518.67,642.8,1587.09,1410.91,14.62,21.61,554.32,2388.13,9052.34,1.3,47.37,521.66,2388.11,8137.36,8.4252,0.03,394,2388,100,38.94,23.247,38,1
0.0026,-0.0004,100,518.67,642.27,1570.12,1395.33,14.62,21.61,554.39,2388.04,9049,1.3,47.22,522.75,2388.08,8130.18,8.3746,0.03,390,2388,100,39.07,23.4241,129,1
0.0027,0.0004,100,518.67,642.27,1579.49,1392.25,14.62,21.61,554.8,2388.01,9062.42,1.3,47.24,522.65,2388,8142.68,8.3943,0.03,391,2388,100,39.01,23.4534,171,0
0.0022,-0.0001,100,518.67,642.28,1589.09,1396.65,14.62,21.61,553.68,2388.08,9050.99,1.3,47.54,522.14,2388.04,8135.76,8.4075,0.03,394,2388,100,39.06,23.345,47,1
-0.0027,0.0006,100,518.67,642,1582.88,1399.92,14.62,21.61,554.54,2388.02,9060.88,1.3,47.38,522.55,2387.98,8147.17,8.3468,0.03,392,2388,100,38.82,23.3876,75,1
